School Name,State Name [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,Location ZIP [Public School] 2018-19,School Type [Public School] 2018-19,Charter School [Public School] 2018-19,Magnet School [Public School] 2018-19,Shared Time School [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2018-19,Male Students [Public School] 2018-19,Female Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19,School ID - NCES Assigned [Public School] Latest available year,ANSI/FIPS State Code [Public School] Latest available year
MILLEDGEVILLE HIGH SCHOOL,Illinois,1709400,61051,1-Regular school,2-No,2-No,2-No,152,33,152,88,64,15.50,9.81,170940005404,17
MILLENNIUM ELEM SCHOOL,Illinois,1721270,60487,1-Regular school,2-No,2-No,2-No,566,43,†,316,250,37.50,15.09,172127003424,17
MILLIGAN ACADEMY RSSP,Illinois,1700197,62523,4-Alternative/other school,2-No,2-No,2-No,39,20,26,31,8,3.00,13.00,170019703057,17
MILLIKIN ELEM SCHOOL,Illinois,1716350,61254,1-Regular school,2-No,2-No,2-No,408,93,†,205,203,24.00,17.00,171635001950,17
MILLSTADT CONSOLIDATED SCHOOL,Illinois,1726190,62260,1-Regular school,2-No,2-No,2-No,478,74,†,254,224,34.00,14.06,172619002794,17
MILLSTADT PRIMARY CENTER,Illinois,1726190,62260,1-Regular school,2-No,2-No,2-No,256,4,†,136,120,17.00,15.06,172619006030,17
MILNE GROVE ELEM SCHOOL,Illinois,1709210,60441,1-Regular school,2-No,2-No,2-No,231,89,†,129,102,12.85,17.98,170921000528,17
MILTON POPE ELEM SCHOOL,Illinois,1726250,61341,1-Regular school,2-No,2-No,2-No,178,14,†,95,83,13.25,13.43,172625002795,17
MINER SCHOOL,Illinois,1700032,60004,2-Special education school,2-No,2-No,2-No,89,23,60,73,16,21.70,4.10,170003205095,17
MINOOKA COMMUNITY HIGH SCHOOL,Illinois,1726340,60447,1-Regular school,2-No,2-No,2-No,2709,428,2709,1395,1314,148.60,18.23,172634002800,17
MINOOKA ELEM SCHOOL,Illinois,1726310,60447,1-Regular school,2-No,2-No,2-No,568,163,†,294,274,36.00,15.78,172631002798,17
MINOOKA INTERMEDIATE SCHOOL,Illinois,1726310,60447,1-Regular school,2-No,2-No,2-No,1076,256,†,551,525,61.00,17.64,172631002099,17
MINOOKA JR HIGH SCHOOL,Illinois,1726310,60447,1-Regular school,2-No,2-No,2-No,982,222,†,497,485,56.00,17.54,172631002799,17
MINOOKA PRIMARY CENTER,Illinois,1726310,60447,1-Regular school,2-No,2-No,2-No,248,37,†,151,97,15.96,15.54,172631006117,17
MIRELES ELEM ACADEMY,Illinois,1709930,60617,1-Regular school,2-No,2-No,2-No,449,436,†,230,219,26.00,17.27,170993001084,17
MITCHELL ELEM SCHOOL,Illinois,1709930,60612,1-Regular school,2-No,2-No,2-No,420,190,†,208,212,24.50,17.14,170993000965,17
MITCHELL ELEMENTARY SCHOOL,Illinois,1717280,62040,1-Regular school,2-No,2-No,2-No,408,235,†,235,173,24.00,17.00,171728002036,17
MLK A R T PROGRAM,Illinois,1700204,61201,4-Alternative/other school,2-No,2-No,2-No,†,†,†,†,†,–,–,170020406200,17
MOHAWK PRIMARY CENTER,Illinois,1730810,60466,1-Regular school,2-No,2-No,2-No,265,229,†,151,114,17.82,14.87,173081003207,17
MOKENA ELEM SCHOOL,Illinois,1726370,60448,1-Regular school,2-No,2-No,2-No,681,130,†,397,284,40.17,16.95,172637002801,17
MOKENA INTERMEDIATE SCHOOL,Illinois,1726370,60448,1-Regular school,2-No,2-No,2-No,339,54,†,177,162,20.71,16.37,172637004521,17
MOKENA JR HIGH SCHOOL,Illinois,1726370,60448,1-Regular school,2-No,2-No,2-No,507,80,†,247,260,38.38,13.21,172637002802,17
MOLINE HS AT COOLIDGE CAMPUS,Illinois,1726400,61265,1-Regular school,2-No,2-No,2-No,65,57,64,42,23,7.00,9.29,172640004886,17
MOLINE SR HIGH SCHOOL,Illinois,1726400,61265,1-Regular school,2-No,2-No,2-No,2082,985,2082,1058,1024,106.00,19.64,172640002824,17
MOLLISON ELEM SCHOOL,Illinois,1709930,60653,1-Regular school,2-No,2-No,2-No,280,274,†,144,136,24.00,11.67,170993000966,17
MOMENCE HIGH SCHOOL,Illinois,1726430,60954,1-Regular school,2-No,2-No,2-No,339,224,339,196,143,24.90,13.61,172643002831,17
MOMENCE JR HIGH SCHOOL,Illinois,1726430,60954,1-Regular school,2-No,2-No,2-No,410,256,†,213,197,24.43,16.78,172643002832,17
MONEE EDUCATION CENTER,Illinois,1711250,60449,1-Regular school,2-No,2-No,2-No,39,31,33,24,15,10.00,3.90,171125005861,17
MONEE ELEMENTARY SCHOOL,Illinois,1711250,60449,1-Regular school,2-No,2-No,2-No,435,260,†,224,211,29.00,15.00,171125001348,17
MONMOUTH-ROSEVILLE HIGH SCH,Illinois,1700320,61462,1-Regular school,2-No,2-No,2-No,509,230,509,252,257,35.83,14.21,170032005601,17
MONMOUTH-ROSEVILLE JR HIGH SCH,Illinois,1700320,61473,1-Regular school,2-No,2-No,2-No,233,106,†,114,119,22.87,10.19,170032005602,17
MONROE CENTER GRADE SCHOOL,Illinois,1725690,61052,1-Regular school,2-No,2-No,2-No,319,118,†,161,158,23.50,13.57,172569002780,17
MONROE ELEM SCHOOL,Illinois,1726490,61607,1-Regular school,2-No,2-No,2-No,315,99,†,174,141,20.40,15.44,172649002840,17
MONROE ELEM SCHOOL,Illinois,1700002,62420,1-Regular school,2-No,2-No,2-No,522,†,†,286,236,31.29,16.68,170000205089,17
MONROE ELEM SCHOOL,Illinois,1709930,60647,1-Regular school,2-No,2-No,2-No,762,728,†,380,382,51.50,14.80,170993000968,17
MONROE ELEM SCHOOL,Illinois,1719290,60521,1-Regular school,2-No,2-No,2-No,346,7,†,188,158,27.38,12.64,171929002217,17
MONROE MIDDLE SCHOOL,Illinois,1742180,60187,1-Regular school,2-No,2-No,2-No,776,237,†,419,357,56.05,13.84,174218005558,17
MONROE/RANDOLPH RED BRICK SCH,Illinois,1700202,62278,4-Alternative/other school,2-No,2-No,2-No,20,12,13,13,7,2.00,10.00,170020203193,17
MONTESSORI ELEMENTARY SCHOOL,Illinois,1734510,61107,1-Regular school,2-No,1-Yes,2-No,584,241,†,282,302,34.80,16.78,173451001589,17
MONTESSORI OF ENGLEWOOD CHTR ES,Illinois,1709930,60636,1-Regular school,1-Yes,1-Yes,2-No,331,323,†,167,164,8.60,38.49,170993006221,17
MONTICELLO HIGH SCHOOL,Illinois,1726550,61856,1-Regular school,2-No,2-No,2-No,534,124,534,277,257,36.20,14.75,172655002843,17
MONTICELLO MIDDLE SCHOOL,Illinois,1726550,61856,1-Regular school,2-No,2-No,2-No,361,93,†,188,173,24.25,14.89,172655005715,17
MONTMORENCY CCSD #145,Illinois,1726590,61071,1-Regular school,2-No,2-No,2-No,228,85,†,116,112,22.10,10.32,172659002846,17
MOOS ELEM SCHOOL,Illinois,1709930,60647,1-Regular school,2-No,2-No,2-No,434,396,†,193,241,31.00,14.00,170993000969,17
MORGAN PARK HIGH SCHOOL,Illinois,1709930,60643,1-Regular school,2-No,2-No,2-No,1225,1055,1132,563,662,79.00,15.51,170993001002,17
MORRILL ELEM MATH & SCI SCHOOL,Illinois,1709930,60629,1-Regular school,2-No,1-Yes,2-No,598,580,†,292,306,34.50,17.33,170993000970,17
MORRIS COMMUNITY HIGH SCHOOL,Illinois,1726640,60450,1-Regular school,2-No,2-No,2-No,867,153,867,443,424,50.17,17.28,172664002851,17
MORRISON ALT LEARNING PROGRAM,ILLINOIS,1700195,61270,4-Alternative/other school,2-No,2-No,2-No,6,†,6,4,2,–,†,170019506388,17
MORRISON HIGH SCHOOL,Illinois,1726710,61270,1-Regular school,2-No,2-No,2-No,270,90,270,134,136,20.75,13.01,172671002852,17
MORRISON JR HIGH SCHOOL,Illinois,1726710,61270,1-Regular school,2-No,2-No,2-No,239,96,†,117,122,15.25,15.67,172671002853,17
MORRISONVILLE ELEM SCHOOL,Illinois,1726760,62546,1-Regular school,2-No,2-No,2-No,172,62,†,102,70,11.70,14.70,172676004743,17
MORRISONVILLE HIGH SCHOOL,Illinois,1726760,62546,1-Regular school,2-No,2-No,2-No,80,21,80,34,46,9.25,8.65,172676002858,17
MORRISONVILLE JR HIGH SCHOOL,Illinois,1726760,62546,1-Regular school,2-No,2-No,2-No,59,32,†,31,28,4.75,12.42,172676002857,17
MORTON ACADEMY,ILLINOIS,1726800,61550,1-Regular school,2-No,2-No,2-No,9,6,2,9,†,2.30,3.91,172680006423,17
MORTON ALTERNATIVE SCHOOLS,Illinois,1700221,60804,4-Alternative/other school,2-No,2-No,2-No,25,22,25,17,8,="0.00",†,170022104700,17
MORTON ELEM CAREER ACADEMY,Illinois,1709930,60612,1-Regular school,2-No,2-No,2-No,276,270,†,138,138,22.00,12.55,170993004956,17
MORTON GINGERWOOD ELEM SCHOOL,Illinois,1703930,60452,1-Regular school,2-No,2-No,2-No,227,89,†,118,109,19.50,11.64,170393000080,17
MORTON HIGH SCHOOL,Illinois,1726800,61550,1-Regular school,2-No,2-No,2-No,959,137,959,490,469,64.22,14.93,172680002864,17
MORTON JR HIGH SCHOOL,Illinois,1726800,61550,1-Regular school,2-No,2-No,2-No,476,70,†,239,237,30.71,15.50,172680002865,17
MOSSVILLE ELEMENTARY SCHOOL,Illinois,1719970,61552,1-Regular school,2-No,2-No,2-No,404,151,†,207,197,27.22,14.84,171997002257,17
MOSSVILLE JR HIGH,Illinois,1719970,61552,1-Regular school,2-No,2-No,2-No,200,60,†,92,108,12.04,16.61,171997006016,17
MOULTON ELEMENTARY SCHOOL,Illinois,1736090,62565,1-Regular school,2-No,2-No,2-No,443,184,†,221,222,32.80,13.51,173609003739,17
MOUNT CARMEL HIGH SCHOOL,Illinois,1740470,62863,1-Regular school,2-No,2-No,2-No,482,210,482,250,232,30.00,16.07,174047004073,17
MOUNT ERIE ELEM SCHOOL,Illinois,1710240,62446,1-Regular school,2-No,2-No,2-No,63,24,†,38,25,6.07,10.38,171024001249,17
MOUNT GREENWOOD ELEM SCHOOL,Illinois,1709930,60655,1-Regular school,2-No,2-No,2-No,1181,163,†,600,581,58.00,20.36,170993000974,17
MOUNT PULASKI ELEM SCHOOL,Illinois,1727290,62548,1-Regular school,2-No,2-No,2-No,357,134,†,192,165,27.25,13.10,172729002891,17
MOUNT PULASKI HIGH SCHOOL,Illinois,1727290,62548,1-Regular school,2-No,2-No,2-No,157,63,157,76,81,16.37,9.59,172729002892,17
MOUNT VERNON ELEM SCHOOL,Illinois,1709930,60643,1-Regular school,2-No,2-No,2-No,245,235,†,127,118,15.00,16.33,170993000978,17
MOUNT VERNON HIGH SCHOOL,Illinois,1727360,62864,1-Regular school,2-No,2-No,2-No,1161,653,1161,608,553,79.79,14.55,172736002904,17
MOVING EVEREST CHARTER SCHOOL,ILLINOIS,1709930,60644,1-Regular school,1-Yes,2-No,2-No,445,401,†,230,215,29.00,15.34,170993006380,17
MOZART ELEM SCHOOL,Illinois,1709930,60647,1-Regular school,2-No,2-No,2-No,566,556,†,283,283,36.00,15.72,170993000979,17
MT CARMEL ELEMENTARY SCHOOL,Illinois,1740470,62863,1-Regular school,2-No,2-No,2-No,391,233,†,210,181,24.00,16.29,174047004075,17
MT CARMEL GRADE SCHOOL,Illinois,1740470,62863,1-Regular school,2-No,2-No,2-No,378,207,†,202,176,23.00,16.43,174047004373,17
MT CARMEL JUNIOR HIGH SCHOOL,Illinois,1740470,62863,1-Regular school,2-No,2-No,2-No,234,126,†,122,112,14.00,16.71,174047004372,17
MT OLIVE ELEMENTARY SCHOOL,Illinois,1727180,62069,1-Regular school,2-No,2-No,2-No,326,166,†,169,157,24.85,13.12,172718004751,17
MT OLIVE HIGH SCHOOL,Illinois,1727180,62069,1-Regular school,2-No,2-No,2-No,126,57,126,59,67,14.46,8.71,172718002883,17
MT VERNON ALTERNATIVE SCHOOL,ILLINOIS,1700174,62864,4-Alternative/other school,2-No,2-No,2-No,28,16,23,19,9,3.00,9.33,170017402806,17
MT ZION ELEM SCHOOL,Illinois,1727390,62549,1-Regular school,2-No,2-No,2-No,360,75,†,203,157,20.71,17.38,172739002909,17
MT ZION HIGH SCHOOL,Illinois,1727390,62549,1-Regular school,2-No,2-No,2-No,759,121,759,405,354,38.12,19.91,172739002908,17
MT ZION INTERMEDIATE SCHOOL,Illinois,1727390,62549,1-Regular school,2-No,2-No,2-No,589,120,†,301,288,32.20,18.29,172739002911,17
MT ZION JR HIGH SCHOOL,Illinois,1727390,62549,1-Regular school,2-No,2-No,2-No,389,81,†,192,197,20.25,19.21,172739002905,17
MUFFLEY ELEM SCHOOL,Illinois,1711850,62521,1-Regular school,2-No,2-No,2-No,355,259,†,190,165,21.50,16.51,171185001407,17
MULBERRY GROVE ELEM SCHOOL,Illinois,1727450,62262,1-Regular school,2-No,2-No,2-No,200,114,†,97,103,16.90,11.83,172745004755,17
MULBERRY GROVE JR HIGH SCHOOL,Illinois,1727450,62262,1-Regular school,2-No,2-No,2-No,98,59,†,42,56,6.00,16.33,172745004756,17
MULBERRY GROVE SR HIGH SCHOOL,Illinois,1727450,62262,1-Regular school,2-No,2-No,2-No,121,51,121,61,60,9.00,13.44,172745002912,17
MULTI NEEDS PROGRAM,ILLINOIS,1701425,60532,2-Special education school,2-No,2-No,2-No,89,26,12,64,25,19.80,4.49,170142506409,17
MULTICULTURAL ACAD SCHOLARSHP HS,Illinois,1709930,60623,1-Regular school,2-No,2-No,2-No,220,210,220,115,105,19.50,11.28,170993005794,17
MUNDELEIN CONS HIGH SCHOOL,Illinois,1727570,60060,1-Regular school,2-No,2-No,2-No,2025,596,2025,1053,972,131.00,15.46,172757002919,17
MUNHALL ELEM SCHOOL,Illinois,1737170,60174,1-Regular school,2-No,2-No,2-No,476,79,†,241,235,32.10,14.83,173717003856,17
MURPHY ELEM SCHOOL,Illinois,1709930,60618,1-Regular school,2-No,2-No,2-No,543,385,†,259,284,36.50,14.88,170993000983,17
MURPHY JUNIOR HIGH SCHOOL,Illinois,1730270,60585,1-Regular school,2-No,2-No,2-No,773,112,†,374,399,44.17,17.50,173027006236,17
MURPHYSBORO HIGH SCHOOL,Illinois,1727610,62966,1-Regular school,2-No,2-No,2-No,599,593,593,316,283,42.00,14.26,172761002925,17
MURPHYSBORO MIDDLE SCHOOL,Illinois,1727610,62966,1-Regular school,2-No,2-No,2-No,446,437,1,214,232,34.29,13.01,172761002926,17
MURRAY ELEM LANGUAGE ACADEMY,Illinois,1709930,60615,1-Regular school,2-No,1-Yes,2-No,492,306,†,258,234,33.50,14.69,170993000984,17
MURRAYVILLE-WOODSON ELEM SCHOOL,Illinois,1720280,62668,1-Regular school,2-No,2-No,2-No,140,79,†,66,74,12.00,11.67,172028002286,17
N B GALLOWAY ELEM SCHOOL,Illinois,1709540,60410,1-Regular school,2-No,2-No,2-No,396,19,†,197,199,28.50,13.89,170954000563,17
N O NELSON ELEM SCHOOL,Illinois,1713530,62025,1-Regular school,2-No,2-No,2-No,326,95,†,153,173,19.40,16.80,171353001643,17
NACHUSA CAMPUS RSSP,Illinois,1700195,61057,4-Alternative/other school,2-No,2-No,2-No,9,3,8,7,2,1.00,9.00,170019506214,17
NACHUSA CAMPUS SCHOOL,Illinois,1700195,61057,4-Alternative/other school,2-No,2-No,2-No,66,40,57,44,22,4.00,16.50,170019505735,17
NAMASTE ELEM CHARTER SCHOOL,Illinois,1709930,60609,1-Regular school,1-Yes,2-No,2-No,480,359,†,236,244,="0.00",†,170993005102,17
NANCY YOUNG ELEMENTARY SCHOOL,Illinois,1741690,60502,1-Regular school,2-No,2-No,2-No,657,109,†,330,327,41.30,15.91,174169003608,17
NAPER ELEM SCHOOL,Illinois,1727710,60540,1-Regular school,2-No,2-No,2-No,222,33,†,112,110,14.45,15.36,172771002938,17
NAPERVILLE CENTRAL HIGH SCHOOL,Illinois,1727710,60540,1-Regular school,2-No,2-No,2-No,2719,363,2719,1386,1333,180.15,15.09,172771002939,17
NAPERVILLE NORTH HIGH SCHOOL,Illinois,1727710,60563,1-Regular school,2-No,2-No,2-No,2675,411,2675,1348,1327,186.65,14.33,172771002940,17
NASH ELEM SCHOOL,Illinois,1709930,60644,1-Regular school,2-No,2-No,2-No,241,230,†,112,129,15.00,16.07,170993000985,17
NASHVILLE COMM HIGH SCHOOL,Illinois,1727740,62263,1-Regular school,2-No,2-No,2-No,408,115,408,208,200,25.50,16.00,172774002947,17
NASHVILLE GRADE SCHOOL,Illinois,1727720,62263,1-Regular school,2-No,2-No,2-No,571,217,†,269,302,39.00,14.64,172772002466,17
NATHAN HALE ELEM SCHOOL,Illinois,1738370,60438,1-Regular school,2-No,2-No,2-No,480,349,†,255,225,34.00,14.12,173837003916,17
NATHAN HALE ELEM SCHOOL,Illinois,1734740,60193,1-Regular school,2-No,2-No,2-No,485,56,†,248,237,37.40,12.97,173474003651,17
NATHAN HALE INTERMEDIATE,Illinois,1706510,60445,1-Regular school,2-No,2-No,2-No,211,151,†,115,96,13.00,16.23,170651000333,17
NATHAN HALE MIDDLE SCHOOL,Illinois,1706510,60445,1-Regular school,2-No,2-No,2-No,440,318,†,222,218,33.00,13.33,170651000334,17
NATHAN HALE PRIMARY SCHOOL,Illinois,1706510,60445,1-Regular school,2-No,2-No,2-No,489,344,†,229,260,27.00,18.11,170651000335,17
NATHANIEL HAWTHORNE EC SCHOOL,Illinois,1742210,60090,1-Regular school,2-No,2-No,2-No,174,84,†,107,67,11.00,15.82,174221006098,17
NATIONAL TEACHERS ELEM ACADEMY,Illinois,1709930,60616,1-Regular school,2-No,2-No,2-No,734,518,†,355,379,42.50,17.27,170993004722,17
NATURE RIDGE ELEM SCHOOL,Illinois,1713710,60103,1-Regular school,2-No,2-No,2-No,596,251,†,311,285,33.60,17.74,171371003644,17
NAUVOO ELEM SCHOOL,Illinois,1727780,62354,1-Regular school,2-No,2-No,2-No,241,129,†,112,129,20.50,11.76,172778004761,17
NAVAJO HEIGHTS ELEM SCHOOL,Illinois,1730570,60463,1-Regular school,2-No,2-No,2-No,147,27,†,72,75,11.54,12.74,173057003176,17
NEAL MATH SCIENCE ACADEMY,Illinois,1700110,60064,1-Regular school,2-No,1-Yes,2-No,599,593,†,308,291,37.00,16.19,170011004813,17
NEIL ARMSTRONG ELEM SCHOOL,Illinois,1734740,60169,1-Regular school,2-No,2-No,2-No,459,136,†,246,213,38.70,11.86,173474003652,17
NEIL ARMSTRONG ELEM SCHOOL,Illinois,1736300,60471,1-Regular school,2-No,2-No,2-No,333,227,†,158,175,26.54,12.55,173630003751,17
NEIL ELEM SCHOOL,Illinois,1709930,60619,1-Regular school,2-No,2-No,2-No,287,259,†,162,125,26.00,11.04,170993000987,17
NELSON PRAIRIE SCHOOL,Illinois,1728140,60451,1-Regular school,2-No,2-No,2-No,441,42,†,219,222,22.00,20.05,172814003777,17
NELSON RIDGE SCHOOL,Illinois,1728140,60451,1-Regular school,2-No,2-No,2-No,459,47,†,243,216,22.00,20.86,172814003778,17
NEOGA EARLY CHILDHOOD CENTER,ILLINOIS,1727840,62447,1-Regular school,2-No,2-No,2-No,37,3,†,17,20,="0.00",†,172784006389,17
NEOGA ELEMENTARY SCHOOL,Illinois,1727840,62447,1-Regular school,2-No,2-No,2-No,223,5,†,104,119,17.00,13.12,172784002953,17
NEOGA JR/SR HIGH SCHOOL,Illinois,1727840,62447,1-Regular school,2-No,2-No,2-No,336,14,200,178,158,22.00,15.27,172784002952,17
NEPONSET GRADE SCHOOL,Illinois,1721000,61345,1-Regular school,2-No,2-No,2-No,115,80,†,57,58,10.79,10.66,172100002954,17
NETTELHORST ELEM SCHOOL,Illinois,1709930,60657,1-Regular school,2-No,2-No,2-No,753,162,1,354,399,48.50,15.53,170993000988,17
NETTIE DAVIS ELEM SCHOOL,Illinois,1720170,60970,1-Regular school,2-No,2-No,2-No,132,78,†,84,48,11.98,11.02,172017002267,17
NETTLE CREEK ELEM SCHOOL,Illinois,1727930,60450,1-Regular school,2-No,2-No,2-No,91,8,†,46,45,10.13,8.98,172793002957,17
NEUQUA VALLEY HIGH SCHOOL,Illinois,1741690,60564,1-Regular school,2-No,2-No,2-No,3565,314,3565,1823,1742,222.30,16.04,174169002092,17
NEW APPROACH ALTERNATIVE H S,Illinois,1700165,62471,4-Alternative/other school,2-No,2-No,2-No,33,26,33,21,12,2.83,11.66,170016502272,17
NEW ATHENS ELEM,Illinois,1727960,62264,1-Regular school,2-No,2-No,2-No,240,42,†,117,123,15.00,16.00,172796004763,17
NEW ATHENS HIGH SCHOOL,Illinois,1727960,62264,1-Regular school,2-No,2-No,2-No,149,48,149,79,70,16.00,9.31,172796002958,17
NEW ATHENS JR HIGH,Illinois,1727960,62264,1-Regular school,2-No,2-No,2-No,119,36,†,61,58,6.00,19.83,172796004764,17
NEW BADEN ELEMENTARY SCHOOL,Illinois,1739420,62265,1-Regular school,2-No,2-No,2-No,231,92,†,110,121,15.33,15.07,173942004858,17
NEW BEGINNINGS LEARNING ACADEMY,Illinois,1712420,60473,1-Regular school,2-No,2-No,2-No,401,398,†,189,212,20.00,20.05,171242005043,17
NEW BEGINNINGS REGNL SAFE SCH PGM,Illinois,1700191,60120,4-Alternative/other school,2-No,2-No,2-No,64,51,59,48,16,="0.00",†,170019102878,17
NEW BERLIN ELEMENTARY SCHOOL,Illinois,1727990,62670,1-Regular school,2-No,2-No,2-No,470,144,†,253,217,34.79,13.51,172799004766,17
NEW BERLIN HIGH SCHOOL,Illinois,1727990,62670,1-Regular school,2-No,2-No,2-No,273,75,273,135,138,16.99,16.07,172799002960,17
NEW BERLIN JR HIGH SCHOOL,Illinois,1727990,62670,1-Regular school,2-No,2-No,2-No,196,59,†,105,91,13.22,14.83,172799002959,17
NEW BOSTON ELEM SCHOOL,Illinois,1701395,61272,1-Regular school,2-No,2-No,2-No,185,83,†,90,95,17.42,10.62,170139504196,17
NEW CENTRAL ELEM SCHOOL,Illinois,1718510,62644,1-Regular school,2-No,2-No,2-No,312,188,†,164,148,24.90,12.53,171851002144,17
NEW DIRECTIONS - GENEVA,ILLINOIS,1700191,60134,4-Alternative/other school,2-No,2-No,2-No,11,3,11,6,5,–,†,170019106545,17
NEW DIRECTIONS PROGRAM,Illinois,1700191,60174,4-Alternative/other school,2-No,2-No,2-No,79,28,70,57,22,="0.00",†,170019106239,17
NEW FIELD ELEM SCHOOL,Illinois,1709930,60626,1-Regular school,2-No,2-No,2-No,662,557,†,346,316,43.50,15.22,170993005687,17
NEW HOLLAND-MIDDLETOWN ELEM SCH,Illinois,1700103,62666,1-Regular school,2-No,2-No,2-No,97,61,†,41,56,12.00,8.08,170010305347,17
NEW HOPE ELEM SCHOOL,Illinois,1728110,62837,1-Regular school,2-No,2-No,2-No,172,68,†,88,84,13.00,13.23,172811002964,17
NEW HORIZONS,Illinois,1700272,61542,2-Special education school,2-No,2-No,2-No,34,28,24,26,8,6.00,5.67,170027205699,17
NEW SIMPSON HILL DIST 32,Illinois,1728160,62972,1-Regular school,2-No,2-No,2-No,255,129,†,133,122,15.00,17.00,172816003817,17
NEW TECH HIGH - ZION-BENTON EAST,Illinois,1743890,60099,1-Regular school,2-No,2-No,2-No,350,163,350,184,166,25.00,14.00,174389005993,17
NEW TRIER TOWNSHIP H S NORTHFIELD,Illinois,1728200,60093,1-Regular school,2-No,2-No,2-No,1015,26,1015,539,476,85.95,11.81,172820004263,17
NEW TRIER TOWNSHIP H S WINNETKA,Illinois,1728200,60093,1-Regular school,2-No,2-No,2-No,2963,124,2963,1499,1464,257.30,11.52,172820002975,17
NEWARK CCSD 66,ILLINOIS,1701428,60541,2-Special education school,2-No,2-No,2-No,–,–,†,†,†,–,–,170142806431,17
NEWARK CHSD 18,ILLINOIS,1701428,60541,2-Special education school,2-No,2-No,2-No,–,–,†,†,†,–,–,170142806429,17
NEWARK COMM HIGH SCHOOL,Illinois,1728260,60541,1-Regular school,2-No,2-No,2-No,161,31,161,73,88,16.93,9.51,172826002977,17
NEWARK ELEM SCHOOL,Illinois,1728270,60541,1-Regular school,2-No,2-No,2-No,144,39,†,72,72,10.20,14.12,172827002978,17
NEWBERRY ELEM MATH & SCIENCE ACAD,Illinois,1709930,60614,1-Regular school,2-No,1-Yes,2-No,493,308,†,245,248,43.00,11.47,170993000991,17
NEWCOMER CENTER,Illinois,1704170,60005,1-Regular school,2-No,2-No,2-No,51,34,51,24,27,4.20,12.14,170417004679,17
NEWPORT ELEM SCHOOL,Illinois,1700010,60083,1-Regular school,2-No,2-No,2-No,267,139,†,151,116,19.56,13.65,170001005141,17
NEWTON COMM HIGH SCHOOL,Illinois,1720380,62448,1-Regular school,2-No,2-No,2-No,453,166,453,218,235,26.55,17.06,172038002299,17
NEWTON ELEM SCHOOL,Illinois,1720380,62448,1-Regular school,2-No,2-No,2-No,524,215,†,274,250,32.07,16.34,172038002303,17
NIA D/HH HS PRGRM,ILLINOIS,1729020,60140,2-Special education school,2-No,2-No,2-No,–,–,†,†,†,–,–,172902006592,17
NIA-D/HH MS PRGRM,ILLINOIS,1729020,60102,2-Special education school,2-No,2-No,2-No,1,†,1,†,1,–,†,172902006596,17
NIA-D/HH PK-ELEM PRGRM,ILLINOIS,1729020,60102,2-Special education school,2-No,2-No,2-No,2,†,†,1,1,–,†,172902006586,17
NICHOLAS A HERMES ELEM SCHOOL,Illinois,1704680,60505,1-Regular school,2-No,2-No,2-No,581,406,†,290,291,38.50,15.09,170468000152,17
NICHOLS MIDDLE SCHOOL,Illinois,1714460,60202,1-Regular school,2-No,2-No,2-No,780,233,†,392,388,59.96,13.01,171446001795,17
NICHOLSON ELEM SCHOOL,Illinois,1704710,60538,1-Regular school,2-No,2-No,2-No,286,173,†,133,153,23.05,12.41,170471000157,17
NICHOLSON TECH ACAD ELEM SCH,Illinois,1709930,60621,1-Regular school,2-No,2-No,2-No,457,443,†,229,228,27.00,16.93,170993000597,17
NIELSON ELEMENTARY SCHOOL,Illinois,1716080,61401,1-Regular school,2-No,2-No,2-No,389,285,†,179,210,28.00,13.89,171608001916,17
NIGHTINGALE ELEM SCHOOL,Illinois,1709930,60632,1-Regular school,2-No,2-No,2-No,1243,918,†,605,638,72.50,17.14,170993000992,17
NILES CENTRAL,Illinois,1728530,60077,1-Regular school,2-No,2-No,2-No,23,8,23,16,7,6.00,3.83,172853005783,17
